"Step","model.ln_type: mlp-pre - train/loss","model.ln_type: mlp-pre - train/loss__MIN","model.ln_type: mlp-pre - train/loss__MAX","model.ln_type: pre - train/loss","model.ln_type: pre - train/loss__MIN","model.ln_type: pre - train/loss__MAX","model.ln_type: attn-pre - train/loss","model.ln_type: attn-pre - train/loss__MIN","model.ln_type: attn-pre - train/loss__MAX","model.ln_type: off - train/loss","model.ln_type: off - train/loss__MIN","model.ln_type: off - train/loss__MAX"
"108","0.2497858315706253","0.20308665931224823","0.3862701654434204","0.038339684903621676","0.03647635877132416","0.040634140372276306","0.014264789782464505","0.011565705761313438","0.019245576113462448","3.0297569274902343","2.9922902584075928","3.087618589401245"
"109","0.22916468381881713","0.18629473447799683","0.3556571304798126","0.037042535841464996","0.03528427705168724","0.03917462006211281","0.013950152136385442","0.011379918083548546","0.01869393326342106","2.9918860912323","2.954342842102051","3.0529308319091797"
"110","0.21033651530742645","0.17112459242343903","0.3271130919456482","0.035851775854825976","0.03419007733464241","0.03783741220831871","0.013654115051031113","0.011207676492631435","0.018151780590415","2.953377199172974","2.9154770374298096","3.018099546432495"
"111","0.1931414932012558","0.15734060108661652","0.30036768317222595","0.03475673720240593","0.033182743936777115","0.0366084985435009","0.013385040313005447","0.011021069251000881","0.01769006811082363","2.9144872665405273","2.8765289783477783","2.9832985401153564"
"112","0.1775077164173126","0.14492088556289673","0.2758934795856476","0.03374863490462303","0.032256241887807846","0.0354791060090065","0.01312868520617485","0.010853447020053864","0.01720740646123886","2.8752070903778075","2.8330178260803223","2.9483482837677"
"113","0.16334790885448455","0.13365648686885834","0.25334036350250244","0.03281840980052948","0.03140128403902054","0.034438617527484894","0.012896081805229187","0.010721419006586075","0.01675383187830448","2.8353668212890626","2.78824782371521","2.9133825302124023"
"114","0.15046618282794952","0.1235414445400238","0.2325175404548645","0.03195856735110283","0.030610177665948868","0.03347773104906082","0.012683267891407012","0.010587508790194988","0.01633436046540737","2.7950791358947753","2.7428677082061768","2.8779025077819824"
"115","0.13884892016649247","0.11436333507299423","0.21366947889328003","0.031162614375352858","0.02987830899655819","0.03258990868926048","0.012491756863892079","0.010480121709406376","0.015939416363835335","2.7543374061584474","2.6966817378997803","2.84211802482605"
"116","0.12831926047801973","0.10613390058279037","0.1963035762310028","0.030424371361732483","0.029199331998825073","0.031767670065164566","0.012319177389144897","0.010399204678833485","0.015567038208246231","2.7131959438323974","2.649691581726074","2.806739091873169"
"117","0.11880834102630615","0.09867680072784424","0.18061116337776184","0.029738254845142365","0.028567688539624214","0.031004466116428375","0.012160591967403888","0.010307850316166878","0.01521842461079359","2.6716715335845946","2.602081298828125","2.7714905738830566"
"118","0.11022434234619141","0.0919584110379219","0.16631343960762024","0.029099632054567337","0.027979910373687744","0.03029531240463257","0.012018012814223766","0.010222681798040867","0.014915254898369312","2.6296011924743654","2.553800344467163","2.7352070808410645"
