"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"58","4.251638317108155","4.231842994689941","4.265244483947754","4.133474540710449","4.111086845397949","4.157325744628906","4.163141059875488","4.140660762786865","4.183942794799805","4.201376152038574","4.179693698883057","4.2186479568481445","4.321837902069092","4.307980537414551","4.330965995788574"
"59","4.239272212982177","4.218786239624023","4.253411293029785","4.119145107269287","4.096541881561279","4.143195152282715","4.149264240264893","4.126461505889893","4.170360088348389","4.188120937347412","4.165923595428467","4.205795764923096","4.310587215423584","4.295775890350342","4.319173336029053"
"60","4.226793098449707","4.205668926239014","4.2414093017578125","4.104695129394531","4.08189582824707","4.128936767578125","4.135271263122559","4.112233638763428","4.1566290855407715","4.17475643157959","4.152135372161865","4.19279146194458","4.299296092987061","4.283511161804199","4.3087849617004395"
"61","4.2142054557800295","4.19251823425293","4.2292609214782715","4.090101909637451","4.067117691040039","4.114516735076904","4.12116174697876","4.097944259643555","4.142766952514648","4.161277008056641","4.138331890106201","4.179652690887451","4.287947654724121","4.271183490753174","4.298294544219971"
"62","4.201514148712159","4.179364204406738","4.217002868652344","4.075339317321777","4.052170276641846","4.0999274253845215","4.106913948059082","4.083526134490967","4.1287736892700195","4.147671222686768","4.124459743499756","4.166409492492676","4.276541900634766","4.2588300704956055","4.287664413452148"
"63","4.18868989944458","4.166158676147461","4.204626083374023","4.06038007736206","4.03702974319458","4.085174083709717","4.0924973487854","4.068943023681641","4.114614486694336","4.13391752243042","4.11045503616333","4.1530327796936035","4.265077590942383","4.246471405029297","4.276900291442871"
"64","4.175701904296875","4.152831554412842","4.192102432250977","4.045200538635254","4.021697998046875","4.07023811340332","4.0778913497924805","4.054205894470215","4.100261688232422","4.1200024604797365","4.096317768096924","4.1394853591918945","4.253532028198242","4.2340803146362305","4.265989780426025"
"65","4.162546062469483","4.139363765716553","4.179438591003418","4.0297706604003904","4.006140232086182","4.055114269256592","4.063072395324707","4.0392889976501465","4.08571720123291","4.105914497375489","4.082064151763916","4.1257805824279785","4.241873168945313","4.221638202667236","4.254902362823486"
"66","4.149215126037598","4.125734329223633","4.166638374328613","4.014046096801758","3.990291118621826","4.03978967666626","4.047999382019043","4.0241241455078125","4.070974349975586","4.091626167297363","4.067660808563232","4.111904621124268","4.230084419250488","4.209164142608643","4.2436418533325195"
"67","4.135682487487793","4.111908435821533","4.153666973114014","3.9979821681976317","3.9741103649139404","4.0242133140563965","4.032628726959229","4.0086750984191895","4.055983543395996","4.077105236053467","4.053072929382324","4.0977935791015625","4.218159198760986","4.196663856506348","4.232240676879883"
"68","4.121924114227295","4.097902774810791","4.140481948852539","3.9815561771392822","3.957549810409546","4.0083208084106445","4.016914176940918","3.9928951263427734","4.040726184844971","4.062317371368408","4.038264274597168","4.083410263061523","4.206076526641846","4.184084892272949","4.22071647644043"
"69","4.107928466796875","4.083750247955322","4.127073287963867","3.964834785461426","3.9405503273010254","3.9920668601989746","4.000813817977905","3.976710796356201","4.025192737579346","4.047217273712159","4.02315092086792","4.068744659423828","4.1938066482543945","4.171372890472412","4.209048748016357"
"70","4.093670654296875","4.0694122314453125","4.113426685333252","3.9479681968688967","3.923172950744629","3.9753949642181396","3.98432879447937","3.960092782974243","4.009317398071289","4.0317559242248535","4.007661819458008","4.053767204284668","4.181332778930664","4.158510208129883","4.197210311889648"
"71","4.0791144371032715","4.054831504821777","4.099484920501709","3.930741024017334","3.905825614929199","3.9582366943359375","3.967550277709961","3.9430370330810547","3.9930384159088135","4.015882396697998","3.991757869720459","4.038440227508545","4.1686300277709964","4.145444393157959","4.1851725578308105"
"72","4.064226531982422","4.039963722229004","4.085208415985107","3.9129586696624754","3.8890624046325684","3.940556287765503","3.9503975391387938","3.9256973266601562","3.9763007164001465","3.9995598793029785","3.975377082824707","4.0227556228637695","4.155665493011474","4.132120609283447","4.172885417938232"
"73","4.048967361450195","4.024720191955566","4.070575714111328","3.894665765762329","3.870335102081299","3.9222946166992188","3.932803678512573","3.908612012863159","3.9590110778808594","3.982776165008545","3.9584760665893555","4.006652355194092","4.142407321929932","4.118520259857178","4.160288333892822"
"74","4.033288192749024","4.009030342102051","4.0555219650268555","3.8761518001556396","3.8506317138671875","3.9034321308135986","3.915014314651489","3.890986680984497","3.941112756729126","3.9655785083770754","3.9410135746002197","3.9900686740875244","4.128827667236328","4.104616641998291","4.147352695465088"
"75","4.017145156860352","3.992866039276123","4.039992332458496","3.857098627090454","3.832653284072876","3.884004592895508","3.896131896972656","3.8714282512664795","3.9225873947143555","3.947867441177368","3.9229321479797363","3.972944736480713","4.1148992538452145","4.090381622314453","4.134069442749023"
"76","4.000493335723877","3.9761712551116943","4.023962497711182","3.837245559692383","3.81227707862854","3.864213705062866","3.8773241996765138","3.8525352478027344","3.903420925140381","3.9295209884643554","3.904242515563965","3.955199956893921","4.100595092773437","4.0758185386657715","4.120410919189453"
"77","3.983289194107056","3.9589145183563232","4.00739049911499","3.8172569274902344","3.7916674613952637","3.8447067737579346","3.8580745220184327","3.8338119983673096","3.8837215900421143","3.9108291149139403","3.8851215839385986","3.936788320541382","4.085891532897949","4.06090784072876","4.106367588043213"
