"Step","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"75","0.19648540392880903","0.1947644825885722","0.19939587853288215","0.26661020416840525","0.26131515127007865","0.2709029806898454","0.4474532077264969","0.4388687378246497","0.4583153771629462","0.7404183914555634","0.7098089824756764","0.7630197594101072","0.3472475100473728","0.31747685342114373","0.3888056807478177"
"76","0.1959832161755537","0.19415883340868878","0.19889019940238573","0.26693202380923464","0.26164910002851144","0.27126818258950486","0.45159430328661393","0.44201223472806955","0.46328650672527516","0.730356902600328","0.7054550463771563","0.7563534030259628","0.3223931392012157","0.2947716755381984","0.36446507579669224"
"77","0.19552069087846977","0.1935842581029158","0.19841032343424442","0.2673212566236553","0.2620526693373326","0.2716667880459586","0.45538408741930975","0.4448019763768093","0.4681757030061102","0.7178998539012215","0.6986116955283945","0.7407386756501736","0.2994565658742928","0.2739137512118768","0.3416562098894303"
"78","0.19509672608419157","0.19303804733969984","0.19795277806324815","0.26777947466792285","0.2625219342812471","0.2721084315720565","0.45939293209844295","0.4478525385894113","0.4729395277381442","0.7003797280321902","0.6886452223201645","0.7090368063990756","0.2792415714759941","0.2562385999570216","0.3211368776920462"
"79","0.1947090867817896","0.1925156810000142","0.1975156083582519","0.26831071679714225","0.26306934364426765","0.2726022375365024","0.46385550643337836","0.45156396747139793","0.47751674957340084","0.6810249124654635","0.6718871381504725","0.6864018765165797","0.2614937478440421","0.24100653852277212","0.30265221747923104"
"80","0.19435461406400847","0.1920159899431042","0.19709986113217803","0.2689244638993281","0.26371613793192183","0.27315382743947075","0.4682020394212306","0.45477923528245234","0.4818544242339206","0.666265389146304","0.6486460851434636","0.6756977781706577","0.24549847528371585","0.2270464673173445","0.284696894322522"
"81","0.19402996593446092","0.19154206007807584","0.19671014013870677","0.26963137689228317","0.26447337318153413","0.2737745101730354","0.47194140475524715","0.45698583523497716","0.4859190881434112","0.6540549462922528","0.6256892965621333","0.6689775109753953","0.231447275279399","0.21486211375944922","0.2690053658997163"
"82","0.1937319966141371","0.19109836986670642","0.19635104009916568","0.2704364883812635","0.2653451217959297","0.2747043510575182","0.4754019384083925","0.4592779872553874","0.4896801824741776","0.6415143323799727","0.6152766657087886","0.6627581974746467","0.21984006827076122","0.20528295713823844","0.25523456003665357"
"83","0.1934584546005362","0.19068829650461164","0.1960254113738702","0.2713421131069041","0.266335034191355","0.27589990707432027","0.4789854305254999","0.4623885305763686","0.4930989088661909","0.6318435979117344","0.6058436668430963","0.6519663177080147","0.21025093381290239","0.19781720250028564","0.2429311332768743"
"84","0.1932084181629087","0.19031364126949166","0.19573449175216978","0.27234973335257384","0.2674442330489096","0.27718850783983845","0.4823631294655205","0.4657688943437655","0.49613106419528114","0.622167710888744","0.5924048711518706","0.6401282140901825","0.20229802343278597","0.19185981461255558","0.2317795091981969"
"85","0.19298212629595274","0.18997577012658554","0.19548000308438387","0.27346140049986695","0.2686688470954077","0.27856721121906947","0.4852064693912098","0.46868709460360186","0.498771383682958","0.6112840137921695","0.5852425694485275","0.6277488203178604","0.19590485982035985","0.1870753444521483","0.2225926373638519"
"86","0.19278051836115792","0.18967693994731552","0.19526574261297738","0.27467856857926415","0.27000433845888394","0.28003972958308543","0.4877491316728628","0.4712991525737273","0.5010281074018159","0.6011477624388196","0.5762364529946847","0.6127017734251824","0.19061493633046736","0.1825761616658096","0.2139750252033681"
"87","0.1926040018472664","0.18941908968076676","0.19509467579552328","0.2760017660707194","0.2713371871105066","0.28160600410706293","0.49005969597846766","0.4737316719230119","0.502923418517097","0.5898089216064871","0.5656744233093497","0.597205068732272","0.18659102058063004","0.1795065226964848","0.20665956486211484"
"88","0.1924517159617686","0.1892015233348535","0.19496590330200184","0.2774302516698899","0.27266390667974993","0.28325910271607074","0.4919956235019466","0.4758948784755973","0.5044912876078042","0.5787597459499765","0.5573551329861673","0.5856913163315505","0.18362010414049088","0.17765314707834307","0.20019854062030648"
