"Step","Grouped runs - train/spec_loss","Grouped runs - train/spec_loss__MIN","Grouped runs - train/spec_loss__MAX","Grouped runs - train/loss","Grouped runs - train/loss__MIN","Grouped runs - train/loss__MAX"
"206","3.3677404845364523","3.293121160361633","3.4391653418081036","0.11125997006893158","0.035498522222042084","0.23025807738304138"
"207","3.36895879595004","3.294297049357781","3.4410541781864423","0.1079687938094139","0.034391626715660095","0.22444204986095428"
"208","3.370144909168926","3.29543284235739","3.4429258064651433","0.10482514128088952","0.03335287794470787","0.21884559094905853"
"209","3.3713597378847977","3.296725210592436","3.4447437124520284","0.10181939154863358","0.0323757603764534","0.21344661712646484"
"210","3.3724900299976306","3.297812293217386","3.446493528774818","0.09893515929579735","0.031454961746931076","0.2081974893808365"
"211","3.3736879326124396","3.299253078713266","3.448240489737058","0.0961640641093254","0.030585896223783493","0.20309895277023315"
"212","3.374775139494184","3.300367978306722","3.449955676306611","0.09350038692355156","0.02976536750793457","0.19815480709075928"
"213","3.375987645203618","3.302148816261469","3.451607954749397","0.0909362368285656","0.028996046632528305","0.19335119426250458"
"214","3.377009225496","3.303214204804339","3.453277292294878","0.08846584670245647","0.02827228046953678","0.18869058787822723"
"215","3.378246286647817","3.3049639977452725","3.4549305045291265","0.08609193749725819","0.027611570432782173","0.18417955935001373"
"216","3.3792623856412183","3.3051980180539773","3.4564870893958055","0.08378814943134785","0.026902029290795326","0.17981542646884918"
"217","3.3804771427488247","3.305606016985802","3.458028103541503","0.08156786672770977","0.02622666396200657","0.17559489607810974"
"218","3.3815474083879096","3.3059611888716987","3.4596075829414357","0.07942421585321427","0.02557418867945671","0.1715136468410492"
"219","3.382857149816909","3.306201751122158","3.4611660382895217","0.07735780589282512","0.024981001392006874","0.16755783557891846"
"220","3.383861617293286","3.306623853430095","3.4627384409951816","0.07536551766097546","0.02442825771868229","0.16374507546424866"
"221","3.3852093569265733","3.3068505780623156","3.4643679088762687","0.0734418872743845","0.023860594257712364","0.1601133495569229"
"222","3.3862100402121187","3.307168682159166","3.465948945021003","0.07160488925874234","0.0232993196696043","0.1567380130290985"
"223","3.3874901447697234","3.307548091612415","3.4674581075974156","0.06985115595161914","0.02277105487883091","0.1535813957452774"
"224","3.3885711569060555","3.307801569245274","3.468998541732794","0.06814633794128895","0.022274455055594444","0.1504717767238617"
"225","3.389688394401341","3.308150096789075","3.4705208306221937","0.06634223982691764","0.02177833393216133","0.14670145511627197"
"226","3.3909050302567136","3.30850386305243","3.4719149798835116","0.0646218504756689","0.021292855963110924","0.14315356314182281"
"227","3.391822419625316","3.3087724968511774","3.4732665150606645","0.06305268704891205","0.020845972001552582","0.1401674449443817"
"228","3.3929164363658506","3.309103720913817","3.4746582718692376","0.06157735474407673","0.02040674351155758","0.13747026026248932"
"229","3.393949408008995","3.309481809995245","3.476001813091581","0.06005214042961597","0.01999274082481861","0.13452155888080597"
"230","3.39474779197041","3.3097877316318893","3.477260669341048","0.05855205245316029","0.019603462889790535","0.1314949244260788"
"231","3.39584340779941","3.3100224662788125","3.478519844182723","0.05716320239007473","0.019229089841246605","0.12875065207481384"
"232","3.3966926755899793","3.3102556677413975","3.4798083900201897","0.055829043686389926","0.018878836184740067","0.12603995203971863"
"233","3.397460927516787","3.3105057166844207","3.4811037859835148","0.05453144907951355","0.018541157245635986","0.12336058169603348"
"234","3.398489883058447","3.3107198220962304","3.4824121123194036","0.053262870758771896","0.018219713121652603","0.12086508423089981"
"235","3.399115557666563","3.3108623892050777","3.483723765041668","0.05203610397875309","0.017910795286297798","0.11840600520372391"
"236","3.3998954372605388","3.3109820066291977","3.4850268742411945","0.0508514653891325","0.017611047253012657","0.1158708781003952"
"237","3.4008871675376637","3.311141555259016","3.4863521957142356","0.049731836467981336","0.017323629930615425","0.11350798606872559"
"238","3.4014341355145454","3.311326914974177","3.4876968275431675","0.04865147434175014","0.01704249531030655","0.11130807548761368"
"239","3.4022564661815204","3.311490607845522","3.489009915528044","0.047548859193921086","0.016770729795098305","0.1090170219540596"
"240","3.40306748781385","3.311641833216332","3.490297315583429","0.046514590829610826","0.016506141051650047","0.10677090287208557"
"241","3.4034859665107478","3.311821756853333","3.491593990556623","0.045535245537757875","0.01624823734164238","0.10461709648370743"
"242","3.404292469459712","3.3120390259399386","3.4928834929207664","0.04453284814953804","0.015998562797904015","0.102455273270607"
"243","3.405013443234563","3.3122775267306297","3.494165125543347","0.04357011206448078","0.01575629413127899","0.10039263963699341"
"244","3.4055323013033503","3.3125203945828208","3.4954723682874005","0.042661564983427526","0.015521709807217121","0.09837456792593002"
"245","3.4063013090512455","3.312747284760644","3.4967903108889016","0.04175113551318645","0.015295987948775291","0.09628774970769882"
