"Step","model.ln_type: pre - train/spec_accuracy","model.ln_type: pre - train/spec_accuracy__MIN","model.ln_type: pre - train/spec_accuracy__MAX","model.ln_type: pre - train/accuracy","model.ln_type: pre - train/accuracy__MIN","model.ln_type: pre - train/accuracy__MAX","model.ln_type: attn-pre - train/spec_accuracy","model.ln_type: attn-pre - train/spec_accuracy__MIN","model.ln_type: attn-pre - train/spec_accuracy__MAX","model.ln_type: attn-pre - train/accuracy","model.ln_type: attn-pre - train/accuracy__MIN","model.ln_type: attn-pre - train/accuracy__MAX","model.ln_type: mlp-pre - train/spec_accuracy","model.ln_type: mlp-pre - train/spec_accuracy__MIN","model.ln_type: mlp-pre - train/spec_accuracy__MAX","model.ln_type: mlp-pre - train/accuracy","model.ln_type: mlp-pre - train/accuracy__MIN","model.ln_type: mlp-pre - train/accuracy__MAX"
"54","0.020151396095752717","0.017488906159996986","0.022970503196120262","0.6687026619911194","0.647350549697876","0.6791960000991821","0.023440354317426682","0.019577132537961006","0.026885930448770523","0.6343513250350952","0.6139388680458069","0.6523100733757019","0.10232315063476563","0.09501435607671738","0.10754372179508209","0.3206473350524902","0.27277472615242004","0.3458626866340637"
"55","0.0202036015689373","0.01722787693142891","0.02323153056204319","0.6916731715202331","0.668232798576355","0.702949583530426","0.02359697110950947","0.019577132537961006","0.026624901220202446","0.6627512216567993","0.6457843780517578","0.6812842488288879","0.10336726307868957","0.09605846554040909","0.10754372179508209","0.3318193554878235","0.2855651080608368","0.35682588815689087"
"56","0.019942573085427285","0.01722787693142891","0.023753589019179344","0.7141216158866882","0.6880709528923035","0.726181149482727","0.02359697110950947","0.019838161766529083","0.02636387199163437","0.6908378720283508","0.677629828453064","0.7034716606140137","0.10347167402505875","0.09658052027225494","0.1085878312587738","0.34299136996269225","0.29391801357269287","0.37196552753448486"
"57","0.020151395723223685","0.01722787693142891","0.024014616385102272","0.7354737401008606","0.7139127850532532","0.7449751496315002","0.023388148471713065","0.020360218361020088","0.02610284462571144","0.7184546828269959","0.7055599093437195","0.7314016819000244","0.10456799417734146","0.09919080883264542","0.1114591434597969","0.35416339635849","0.30409812927246094","0.3839728534221649"
"58","0.019733750075101853","0.015922734513878822","0.02427564561367035","0.7566692590713501","0.735578179359436","0.7669015526771545","0.023544765636324884","0.02114330418407917","0.025841815397143364","0.7455494284629822","0.7298355102539062","0.7575045228004456","0.1050378441810608","0.10049594938755035","0.11067605763673782","0.36366482973098757","0.31271207332611084","0.3959801495075226"
"59","0.020046984031796455","0.015400677919387817","0.024536672979593277","0.7776037335395813","0.7554163336753845","0.7885669469833374","0.023127120360732077","0.020882274955511093","0.02531975880265236","0.7741059541702271","0.7575045228004456","0.7870007753372192","0.10545549094676972","0.10154006630182266","0.1114591434597969","0.37441919445991517","0.3239362835884094","0.407465398311615"
"60","0.0200991902500391","0.015661707147955894","0.02427564561367035","0.7989036560058593","0.775254487991333","0.8128425478935242","0.023388148471713065","0.021404331550002098","0.02505873143672943","0.8021404027938843","0.7883058786392212","0.8146697878837585","0.10618637204170227","0.1028452068567276","0.11093708872795105","0.3864265143871307","0.33750978112220764","0.4207778573036194"
"61","0.020151396095752717","0.015400677919387817","0.023753589019179344","0.8209866523742676","0.7969198226928711","0.8350299596786499","0.02370138242840767","0.021404331550002098","0.02531975880265236","0.8282432556152344","0.8128425478935242","0.8415557146072388","0.10790915787220001","0.10545548796653748","0.11119811981916428","0.4009396851062775","0.34925606846809387","0.4351344108581543"
"62","0.019890367425978182","0.015139649622142315","0.022448446601629257","0.8426520109176636","0.8167579770088196","0.8569563627243042","0.024171233549714087","0.021926390007138252","0.025841815397143364","0.8522578597068786","0.8389453887939453","0.8645262122154236","0.10743930637836456","0.10623857378959656","0.11093708872795105","0.4139389097690582","0.3617854118347168","0.44792482256889343"
"63","0.01952492743730545","0.014878621324896812","0.02218741737306118","0.8630122423171998","0.840250551700592","0.8762724995613098","0.024693290889263152","0.022709473967552185","0.02636387199163437","0.8750195503234863","0.8632210493087769","0.8856695294380188","0.10869224518537521","0.10702165961265564","0.11119811981916428","0.4271469354629517","0.3732706606388092","0.4620203375816345"
